Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_bots;Clean_Miss_brute force;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_port scanning;Clean_Miss_web attacks;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_bots;Adv_Miss_brute force;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_port scanning;Adv_Miss_web attacks
CICIDS;RANDOM_L2;distributive;1;15;1024;3;100,52636432647704;16,010912895202637;10,447465144371426;0,7501085984159508;0,8872034313592576;0,7501085984159508;0,7785261918157518;0,4710334747338706;0,2547874523879984;0,2200871515991496;0,8613194884113644;0,2779206556717113;0,4692778973767543;0,1542416452442159;0,0644808743169398;0,0035933289067687;0,0096002477483289;0,9912894867412756;0,2680652680652681;0,6456339469722365;0,7026738972821907;0,6456339469722365;0,6710969051695683;0,0021066898323796;0,2285447672143041;0,7723135108469679;0,5057280751654848;0,1443930744568198;0,1285362758306248;0,7866323907455013;0,7524590163934426;0,7693239073546069;0,7761748690288781;0,7704945145818403;0,7505827505827506
CICIDS;FGSM;distributive;1;15;2048;2;99,79378366470335;32,26120448112488;3,749273531144437;0,7470837110310204;0,8935113044148164;0,7470837110310204;0,7780164461277865;0,470701842822214;0,2593911391559191;0,2146842222718143;0,8634784482007329;0,3130887185847406;0,4758338372698242;0,1362467866323907;0,060655737704918;0,003905792289966;0,010400268394023;0,9674733998566624;0,1445221445221445;0,7095909757195761;0,7033399174605552;0,7095909757195761;0,7051755033227436;0,0078382415999016;0,1505374547745649;0,8138573391747612;0,4649217184894005;0,1408512145594442;0,1319780784919588;0,8277634961439588;0,759016393442623;0,6307463969066125;0,9152494257916334;0,863608798720988;0,7016317016317016
CICIDS;RANDOM_LINF;distributive;1;15;2048;2;99,79378366470335;20,79548406600952;14,929058952575714;0,7470837110310204;0,8935113044148164;0,7470837110310204;0,7780164461277865;0,470701842822214;0,2593911391559191;0,2146842222718143;0,8634784482007329;0,3130887185847406;0,4758338372698242;0,1362467866323907;0,060655737704918;0,003905792289966;0,010400268394023;0,9674733998566624;0,1445221445221445;0,5977931215052633;0,7024225433804465;0,5977931215052633;0,6447680124378825;0,0012476794366202;0,2887459070384619;0,7207037902723781;0,5171297321908817;0,1460392648455614;0,1287282128637683;0,712082262210797;0,7109289617486338;0,7185876655079483;0,7278897519935998;0,7099619604167815;0,7016317016317016
CICIDS;RANDOM_L2;distributive;1;15;2048;2;99,79378366470335;17,94655132293701;14,938579909590576;0,7470837110310204;0,8935113044148164;0,7470837110310204;0,7780164461277865;0,470701842822214;0,2593911391559191;0,2146842222718143;0,8634784482007329;0,3130887185847406;0,4758338372698242;0,1362467866323907;0,060655737704918;0,003905792289966;0,010400268394023;0,9674733998566624;0,1445221445221445;0,5976979119351147;0,7024591275211138;0,5976979119351147;0,6446617659187952;0,002166435749161;0,2877244565788092;0,7143377300649526;0,5087364902238068;0,1441815687035426;0,1265339709405266;0,6709511568123393;0,6743169398907104;0,7132757879935945;0,721360551240032;0,7069849495562048;0,6643356643356644
CICIDS;FGSM;distributive;1;15;2048;3;100,78436374664308;30,339802742004395;6,067428210992343;0,7549960230169136;0,8864270786151855;0,7549960230169136;0,7824104266517276;0,4763381482767064;0,2489928689393143;0,2194998766722653;0,8634102825931921;0,2931621803195173;0,4723296671901956;0,1491002570694087;0,053551912568306;0,0041791977502636;0,0091099125138713;0,9908484480952644;0,2307692307692307;0,6943217409069902;0,6996695855271976;0,6943217409069902;0,6961240506354075;0,0020478974658017;0,1693722375492826;0,8171343332667755;0,4886076493533844;0,1441938706553192;0,1304076631098881;0,7172236503856041;0,6551912568306011;0,668046713275788;0,9117654649152236;0,8450300457577595;0,7692307692307693
CICIDS;RANDOM_LINF;distributive;1;15;2048;3;100,78436374664308;22,399799346923828;18,06522252261723;0,7549960230169136;0,8864270786151855;0,7549960230169136;0,7824104266517276;0,4763381482767064;0,2489928689393143;0,2194998766722653;0,8634102825931921;0,2931621803195173;0,4723296671901956;0,1491002570694087;0,053551912568306;0,0041791977502636;0,0091099125138713;0,9908484480952644;0,2307692307692307;0,5743437977907413;0,7026427891240772;0,5743437977907413;0,6312434488893223;0,0031647545236715;0,3174061840711006;0,6862894795569598;0,5159257402355157;0,1460488204043908;0,126635455041209;0,699228791773779;0,6639344262295082;0,684490098816545;0,6910113809388629;0,6827278240255802;0,6013986013986014
CICIDS;RANDOM_L2;distributive;1;15;2048;3;100,78436374664308;20,349539756774902;18,27389016385964;0,7549960230169136;0,8864270786151855;0,7549960230169136;0,7824104266517276;0,4763381482767064;0,2489928689393143;0,2194998766722653;0,8634102825931921;0,2931621803195173;0,4723296671901956;0,1491002570694087;0,053551912568306;0,0041791977502636;0,0091099125138713;0,9908484480952644;0,2307692307692307;0,5722571213783172;0,7018989789985937;0,5722571213783172;0,6295049453251106;0,0015726215436107;0,3185087777915668;0,6825544110219758;0,5078738918680091;0,1440304442217908;0,1239845688898436;0,699228791773779;0,6540983606557377;0,677459672694606;0,6871661204160108;0,6835547714868515;0,634032634032634
CICIDS;FGSM;distributive;1;20;1024;2;95,3544340133667;17,03659176826477;9,315661379229644;0,7698070617731593;0,8961353603132137;0,7698070617731593;0,7947621920184058;0,4930814340739436;0,2317594722824167;0,2180434348535923;0,8762269845872223;0,3398855254215152;0,4828717877518525;0,1568123393316195;0,0530054644808743;0,0047260086708588;0,0123874164494567;0,9701196317327304;0,4848484848484848;0,6766504479808628;0,6936915993828549;0,6766504479808628;0,6808596083134535;-0,0353485033744148;0,1888370738785524;0,8786924911027849;0,4875712559880883;0,1423245630033996;0,1232208068567918;0,8508997429305912;0,8005464480874317;0,8426746865601688;0,9027845879893674;0,88621202932907;0,8927738927738927
CICIDS;RANDOM_LINF;distributive;1;20;1024;2;95,3544340133667;5,263816595077515;12,282827962257349;0,7698070617731593;0,8961353603132137;0,7698070617731593;0,7947621920184058;0,4930814340739436;0,2317594722824167;0,2180434348535923;0,8762269845872223;0,3398855254215152;0,4828717877518525;0,1568123393316195;0,0530054644808743;0,0047260086708588;0,0123874164494567;0,9701196317327304;0,4848484848484848;0,6469787821505858;0,7044468093248913;0,6469787821505858;0,6698825443619714;0,0001527396520314;0,2238169789886686;0,78052361432481;0,5077499137500848;0,1441608634131159;0,1219174578053308;0,7583547557840618;0,7754098360655738;0,7751044799437566;0,7899558698288988;0,7698329566128232;0,745920745920746
CICIDS;RANDOM_L2;distributive;1;20;1024;2;95,3544340133667;5,389364719390869;12,297902810864214;0,7698070617731593;0,8961353603132137;0,7698070617731593;0,7947621920184058;0,4930814340739436;0,2317594722824167;0,2180434348535923;0,8762269845872223;0,3398855254215152;0,4828717877518525;0,1568123393316195;0,0530054644808743;0,0047260086708588;0,0123874164494567;0,9701196317327304;0,4848484848484848;0,6468280336645171;0,7034381631888845;0,6468280336645171;0,6696200826290748;0,0012566269080828;0,2233873970196557;0,7754260679594546;0,5030576581546201;0,1433315449319809;0,120102285391489;0,7866323907455013;0,7568306010928961;0,7719407881888841;0,7803814291981729;0,7718727603506257;0,7552447552447552
CICIDS;FGSM;distributive;1;20;1024;3;95,95731329917908;8,74277639389038;0,8521256528302046;0,7719948983538663;0,8992858938711056;0,7719948983538663;0,79899182024162;0,5002446631568853;0,2309241740093362;0,2080832520936351;0,8800394613811565;0,3409241813119866;0,4944050808307879;0,1670951156812339;0,0562841530054644;0,0039839081357653;0,012619680507884;0,9284966095154088;0,2680652680652681;0,7634736418255642;0,7078748736935518;0,7634736418255642;0,7289019718076423;0,0102427546057408;0,0841049898332267;0,9016784317410352;0,4918705595108488;0,1442538021333992;0,1330473406136899;0,897172236503856;0,9437158469945356;0,8399796898800922;0,9300627112957752;0,9229836264402668;0,944055944055944
CICIDS;RANDOM_LINF;distributive;1;20;1024;3;95,95731329917908;4,864534139633179;4,842200055142209;0,7719948983538663;0,8992858938711056;0,7719948983538663;0,79899182024162;0,5002446631568853;0,2309241740093362;0,2080832520936351;0,8800394613811565;0,3409241813119866;0,4944050808307879;0,1670951156812339;0,0562841530054644;0,0039839081357653;0,012619680507884;0,9284966095154088;0,2680652680652681;0,7235728978024442;0,7077905932654647;0,7235728978024442;0,7083905973861656;0,0021792971443755;0,1310034080169541;0,8691316552931089;0,5087026401451005;0,1444446297897802;0,1263807399114851;0,8380462724935732;0,8579234972677595;0,8682966839823458;0,8701901984567344;0,8702795082419097;0,8508158508158508
CICIDS;RANDOM_L2;distributive;1;20;1024;3;95,95731329917908;4,755978345870972;4,8747299916096605;0,7719948983538663;0,8992858938711056;0,7719948983538663;0,79899182024162;0,5002446631568853;0,2309241740093362;0,2080832520936351;0,8800394613811565;0,3409241813119866;0,4944050808307879;0,1670951156812339;0,0562841530054644;0,0039839081357653;0,012619680507884;0,9284966095154088;0,2680652680652681;0,7232475984377696;0,7050456322762912;0,7232475984377696;0,7078508985066851;0,0013457381720355;0,1310081811499432;0,8689554728150436;0,5039160230497911;0,1434859119964065;0,1254885394913345;0,8560411311053985;0,8748633879781421;0,8664219036831621;0,8704224625151616;0,8690666519653785;0,8694638694638694
CICIDS;FGSM;distributive;1;20;2048;2;95,33735537528992;23,959328413009644;18,7925839678985;0,7645149964990647;0,8896977829428121;0,7645149964990647;0,7892896841451669;0,4858926761903858;0,2374633662043092;0,2200754061006119;0,8799815250522024;0,3512299058297406;0,4753970435736674;0,1439588688946015;0,0437158469945355;0,0042573135960629;0,0116648171565717;0,988808644357462;0,2424242424242424;0,5765891568200797;0,7014475819562331;0,5765891568200797;0,6312651067255919;-0,0001322300184318;0,3108288068122154;0,6851736571958796;0,4846135544706816;0,1418439734686299;0,1211709273665266;0,6966580976863753;0,6021857923497268;0,5142366128969261;0,7648971586363519;0,761012183692596;0,8228438228438228
CICIDS;RANDOM_LINF;distributive;1;20;2048;2;95,33735537528992;6,105190753936768;31,50802041451866;0,7645149964990647;0,8896977829428121;0,7645149964990647;0,7892896841451669;0,4858926761903858;0,2374633662043092;0,2200754061006119;0,8799815250522024;0,3512299058297406;0,4753970435736674;0,1439588688946015;0,0437158469945355;0,0042573135960629;0,0116648171565717;0,988808644357462;0,2424242424242424;0,4494347923538781;0,7029559698112772;0,4494347923538781;0,5455637178735709;-0,0045508580904927;0,4631108416942713;0,5591914398806658;0,5056453757492515;0,1441627955411164;0,104345899490382;0,5244215938303342;0,5245901639344263;0,547240557747139;0,5821311517716586;0,5316720877666905;0,5431235431235432
CICIDS;RANDOM_L2;distributive;1;20;2048;2;95,33735537528992;5,92843222618103;31,847601214715432;0,7645149964990647;0,8896977829428121;0,7645149964990647;0,7892896841451669;0,4858926761903858;0,2374633662043092;0,2200754061006119;0,8799815250522024;0,3512299058297406;0,4753970435736674;0,1439588688946015;0,0437158469945355;0,0042573135960629;0,0116648171565717;0,988808644357462;0,2424242424242424;0,4460389843519104;0,7007431907426876;0,4460389843519103;0,5425433517951841;-0,0042729788653526;0,4660654110144817;0,5499829690271204;0,5063523474242949;0,1431590692104546;0,1002857404666572;0,4601542416452442;0,533879781420765;0,5443502714525642;0,5671888306795014;0,5238987816307404;0,585081585081585
CICIDS;FGSM;distributive;1;20;2048;3;95,79259657859802;12,946341514587402;20,00571257420891;0,7660859544065171;0,8970104713715638;0,7660859544065171;0,792411594056026;0,4901332056750704;0,2364514620106345;0,2151892787089348;0,8794651110885415;0,3468307191700653;0,483271129924575;0,1619537275064267;0,0486338797814207;0,0039839081357653;0,0121035381558233;0,9673080103644082;0,1212121212121212;0,5660288286644279;0,684182211400528;0,5660288286644279;0,6191868563487805;-0,0284920726859576;0,3214752799442498;0,7366776682836303;0,4816721034248631;0,1411838436700601;0,1106217473009467;0,6658097686375322;0,5540983606557377;0,6245752450884662;0,8055175617435288;0,7717625006891229;0,5687645687645687
CICIDS;RANDOM_LINF;distributive;1;20;2048;3;95,79259657859802;7,111664056777954;31,734539850163934;0,7660859544065171;0,8970104713715638;0,7660859544065171;0,792411594056026;0,4901332056750704;0,2364514620106345;0,2151892787089348;0,8794651110885415;0,3468307191700653;0,483271129924575;0,1619537275064267;0,0486338797814207;0,0039839081357653;0,0121035381558233;0,9673080103644082;0,1212121212121212;0,4487405559048777;0,703068941618805;0,4487405559048777;0,5444734690955646;-0,0080099429874463;0,4641179727549569;0,5690341676552462;0,5057538267350175;0,1439288222166031;0,1044264334724097;0,5295629820051414;0,5289617486338798;0,5692301683396477;0,5893055304653023;0,5315618281051877;0,5174825174825175
