Dataset;Attack;Binarization;Resolution;AddressSize;BloomSize;Hash;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_reconnaissance;Clean_Miss_theft;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_reconnaissance;Adv_Miss_theft
Bot-IoT;RANDOM_L2;linear;8;15;2048;3;6,939844846725464;19,797523736953732;31,322235952605944;0,7647561241549756;0,835430435711366;0,7647561241549756;0,7450890856920213;0,6048915215497215;0,1333333333333333;0,0;0,8347008630610573;0,8263661144622223;0,678530866603105;0,0;0,0;0,0;0,0;0,4515337646289162;0,5446968199959284;0,4515337646289162;0,454175291322353;0,1027512652994663;0,8;0,003162457629429;0,7541878897729718;0,2233089617709732;0,2140609939479505;0,0026134062548676;0,0035506778566817;0,0077979948013367;0,0
Bot-IoT;FGSM;linear;8;20;1024;2;6,000067710876465;18,66370701789856;73,83332121828887;0,8212637202878534;0,8638542290372238;0,8212637202878534;0,812546926619739;0,6921906969232399;0,1333333333333333;0,0;0,8485175664024982;0,8372841320674997;0,9072441672785044;0,0;0,0;0,0;0,0;0,0829305081049647;0,0808513807498578;0,0829305081049647;0,0755059793732366;-0,5442861162955792;0,8666666666666667;0,0068065539208113;0,6649307825451295;0,2247720754319035;0,059248536906296;0,0001384586095294;0,014182537120723;0,0141106572595618;0,0
Bot-IoT;RANDOM_LINF;linear;8;20;1024;2;6,000067710876465;15,750805377960203;23,419895326015848;0,8212637202878534;0,8638542290372238;0,8212637202878534;0,812546926619739;0,6921906969232399;0,1333333333333333;0,0;0,8485175664024982;0,8372841320674997;0,9072441672785044;0,0;0,0;0,0;0,0;0,587064767027695;0,5909960572910014;0,587064767027695;0,583681527735432;0,2257505046760252;0,2666666666666666;0,0001999254823202;0,8126521175908378;0,4584472057316892;0,4389745948892827;0,0001211512833382;0,0002622659780503;0,0007426661715558;0,0
Bot-IoT;RANDOM_L2;linear;8;20;1024;2;6,000067710876465;18,06258654594421;37,148360834484265;0,8212637202878534;0,8638542290372238;0,8212637202878534;0,812546926619739;0,6921906969232399;0,1333333333333333;0,0;0,8485175664024982;0,8372841320674997;0,9072441672785044;0,0;0,0;0,0;0,0;0,4497801119430108;0,524343946088115;0,4497801119430108;0,4537709835245407;0,0754558448158985;0,6;0,0244454339746094;0,6120940878664136;0,2146435635648992;0,2121396974890785;0,0222918361342356;0,0270335700451904;0,0230226513182324;0,0
Bot-IoT;FGSM;linear;8;20;1024;3;7,234113693237305;23,27862310409546;50,53881660245694;0,7985389256378571;0,851570890525245;0,7985389256378571;0,7861914105222478;0,6566673165339568;0,0666666666666666;0,0;0,83446532388901;0,8335078063693786;0,9034408185285508;0,0;0,0;0,0;0,0;0,2931507596132878;0,2641715139264697;0,2931507596132878;0,2715321429667195;-0,310832501539172;0,9333333333333332;0,0320789523904726;0,7392860429275342;0,276964136351097;0,1789606670220495;0,012738192076706;0,0520497094899935;0,0794652803564797;0,0
Bot-IoT;RANDOM_LINF;linear;8;20;1024;3;7,234113693237305;18,790287971496586;17,88907465290398;0,7985389256378571;0,851570890525245;0,7985389256378571;0,7861914105222478;0,6566673165339568;0,0666666666666666;0,0;0,83446532388901;0,8335078063693786;0,9034408185285508;0,0;0,0;0,0;0,0;0,6196481791088173;0,624366057340133;0,6196481791088173;0,6004471493510027;0,2735384640239885;0,5333333333333333;1,817504384729328e-05;0,8138811512037784;0,6877276977509554;0,7153968187195814;0,0;2,0174306003873465e-05;0,0003713330857779;0,0
Bot-IoT;RANDOM_L2;linear;8;20;1024;3;7,234113693237305;21,116660356521606;29,792105837028423;0,7985389256378571;0,851570890525245;0,7985389256378571;0,7861914105222478;0,6566673165339568;0,0666666666666666;0,0;0,83446532388901;0,8335078063693786;0,9034408185285508;0,0;0,0;0,0;0,0;0,5006178672675728;0,5385263859392236;0,5006178672675728;0,4832366813717417;0,1027856318436241;0,6;0,0094146727128979;0,7320377271413621;0,2201606696265067;0,2355472566106657;0,008722892400353;0,0093205293737895;0,0259933160044559;0,0
Bot-IoT;FGSM;linear;8;20;2048;2;5,804425239562988;18,31934952735901;33,80824307625209;0,8184742313004288;0,8611765157895024;0,8184742313004288;0,8095248960519426;0,6868677312265145;0,0666666666666666;0,0;0,848332990905794;0,8394873849235257;0,913395732342671;0,0;0,0;0,0;0,0;0,480391800537908;0,7005854148052015;0,480391800537908;0,5604197599489316;0,2441746922448254;0,9333333333333332;0,0195836097454585;0,7148305623606132;0,3010761701922436;0,2473475737047319;0,0363626923276623;0,0001008715300193;0,0181953212031192;0,0
Bot-IoT;RANDOM_LINF;linear;8;20;2048;2;5,804425239562988;18,176133394241333;21,571745293305224;0,8184742313004288;0,8611765157895024;0,8184742313004288;0,8095248960519426;0,6868677312265145;0,0666666666666666;0,0;0,848332990905794;0,8394873849235257;0,913395732342671;0,0;0,0;0,0;0,0;0,6027567783673766;0,6125291708286063;0,6027567783673766;0,6017532024013709;0,2640352159836414;0,6666666666666666;2,726256577093992e-05;0,8192992917670538;0,4623868267922792;0,4613426900887019;0,0;4,034861200774693e-05;0,0003713330857779;0,0
Bot-IoT;RANDOM_L2;linear;8;20;2048;2;5,804425239562988;19,75189208984375;36,68405175546994;0,8184742313004288;0,8611765157895024;0,8184742313004288;0,8095248960519426;0,6868677312265145;0,0666666666666666;0,0;0,848332990905794;0,8394873849235257;0,913395732342671;0,0;0,0;0,0;0,0;0,4516337137457294;0,5329642353787641;0,4516337137457294;0,4701231780344205;0,0921694609075513;0,6666666666666666;0,0080788069901218;0,6411695790404721;0,2191626196427534;0,2214900645516984;0,0064383253431177;0,0098450613298902;0,0107686594875603;0,0
