Dataset;Attack;Binarization;Resolution;AddressSize;TrainTime_s;InferTime_Adv_s;Acc_Drop_pp;Clean_Acc;Clean_Precision;Clean_Recall;Clean_F1;Clean_MCC;Clean_FAR;Clean_ASR;Clean_AUC;Clean_PR_AUC;Clean_F1_Macro;Clean_Miss_bots;Clean_Miss_brute force;Clean_Miss_ddos;Clean_Miss_dos;Clean_Miss_port scanning;Clean_Miss_web attacks;Adv_Acc;Adv_Precision;Adv_Recall;Adv_F1;Adv_MCC;Adv_FAR;Adv_ASR;Adv_AUC;Adv_PR_AUC;Adv_F1_Macro;Adv_Miss_bots;Adv_Miss_brute force;Adv_Miss_ddos;Adv_Miss_dos;Adv_Miss_port scanning;Adv_Miss_web attacks
CICIDS;RANDOM_LINF;gaussian;1;5;3,7566881000529975;0,9746711000334471;10,549815432281196;0,9284361233043276;0,9320524869435324;0,9284361233043276;0,90845254701428;0,7390033498352303;0,0008639370710146;0,4187857503611741;0,671832708910341;0,4006972140890102;0,4500074996088297;1,0;0,6978142076502732;0,2299339921102995;0,2476967147539291;0,9964716908319092;1,0;0,8229379689815155;0,745511883631342;0,8229379689815155;0,7545800853027811;0,0274260803914963;0,012500835298273;0,9775660977930208;0,5018350085472556;0,1433859202964064;0,1359987619951984;0,987146529562982;0,9710382513661202;0,983673788227942;0,9712508709902192;0,9827443629748056;0,9836829836829836
CICIDS;RANDOM_L2;gaussian;1;5;3,7566881000529975;0,9442716999910772;10,636297458499532;0,9284361233043276;0,9320524869435324;0,9284361233043276;0,90845254701428;0,7390033498352303;0,0008639370710146;0,4187857503611741;0,671832708910341;0,4006972140890102;0,4500074996088297;1,0;0,6978142076502732;0,2299339921102995;0,2476967147539291;0,9964716908319092;1,0;0,8220731487193321;0,7092370446721684;0,8220731487193321;0,7535919995623734;0,0192557672237538;0,0131356619858142;0,9796920330283418;0,5012841912168281;0,1431870817612441;0,134854388017375;0,9845758354755784;0,980327868852459;0,983205093153146;0,975612273865132;0,9832956612823198;0,9790209790209792
CICIDS;FGSM;gaussian;1;10;3,424587700050324;1,507611399749294;31,350924623773437;0,9482535986242218;0,9454174261697468;0,9482535986242218;0,9433908138090528;0,8161619864350432;0,0072122039464263;0,2708746872761014;0,7247076882690663;0,4714713118669755;0,5465675434163441;1,0;0,6978142076502732;0,1557629965238448;0,1937082247283801;0,5222448867081978;1,0;0,6347443523864874;0,7391136678454954;0,6347443523864874;0,6814284935939346;0,1006911102465197;0,2373010796826821;0,4904802734352059;0,5368116350327938;0,1486900611263042;0,1190514964290471;0,4652956298200514;0,0431693989071038;0,3933523415224778;0,6982889881029188;0,2185346490986272;0,9463869463869464
CICIDS;RANDOM_LINF;gaussian;1;10;3,424587700050324;1,219704800285399;34,90799383518034;0,9482535986242218;0,9454174261697468;0,9482535986242218;0,9433908138090528;0,8161619864350432;0,0072122039464263;0,2708746872761014;0,7247076882690663;0,4714713118669755;0,5465675434163441;1,0;0,6978142076502732;0,1557629965238448;0,1937082247283801;0,5222448867081978;1,0;0,5991736602724184;0,7168998050724408;0,5991736602724184;0,6500212882673796;0,0228976503869699;0,2887172682405277;0,6826953570044281;0,5073250664702251;0,1448715553404859;0,1326150420372125;0,6966580976863753;0,6699453551912569;0,7015584111236964;0,6890758471186353;0,6450741496223606;0,6130536130536131
CICIDS;RANDOM_L2;gaussian;1;10;3,424587700050324;1,1770452000200748;38,38314314560519;0,9482535986242218;0,9454174261697468;0,9482535986242218;0,9433908138090528;0,8161619864350432;0,0072122039464263;0,2708746872761014;0,7247076882690663;0,4714713118669755;0,5465675434163441;1,0;0,6978142076502732;0,1557629965238448;0,1937082247283801;0,5222448867081978;1,0;0,5644221671681698;0,7088454304756522;0,5644221671681698;0,626548398486874;0,011181062744388;0,3274226036485828;0,6559156203385053;0,5012816349137121;0,1436230603233957;0,1221559991011114;0,7095115681233933;0,6475409836065574;0,6588681013943678;0,6686882242122377;0,6250068912288439;0,62004662004662
CICIDS;FGSM;gaussian;1;15;3,12896170001477;1,6272997001651677;80,62564588783916;0,9527522508137444;0,9492097594977216;0,9527522508137444;0,9482920374043948;0,8334925461195178;0,009376819756952;0,2329837089935282;0,7330071325815214;0,4798190825132593;0,5520675997147109;1,0;0,6978142076502732;0,1540835058391594;0,1115641693979199;0,5222448867081978;1,0;0,1464957919353527;0,8312354173087282;0,1464957919353527;0,2467891172365056;0,0637303163989257;0,8251291132473533;0,0333337248499512;0,5192534452419036;0,1463390003927734;0,0441854898216322;0,0282776349614395;0,0224043715846994;0,0002343475373979;0,0072518000464528;0,1373835382325376;0,0163170163170163
CICIDS;RANDOM_LINF;gaussian;1;15;3,12896170001477;1,396319500170648;86,23507639576238;0,9527522508137444;0,9492097594977216;0,9527522508137444;0,9482920374043948;0,8334925461195178;0,009376819756952;0,2329837089935282;0,7330071325815214;0,4798190825132593;0,5520675997147109;1,0;0,6978142076502732;0,1540835058391594;0,1115641693979199;0,5222448867081978;1,0;0,0904014868561204;0,7088998924422425;0,0904014868561204;0,159070469733891;-0,0008043185180808;0,8945591057058032;0,1171613479134121;0,5011616098867337;0,1433236357145304;0,0347523228603649;0,1053984575835475;0,1032786885245901;0,1119400070304261;0,127874267723038;0,104195380120183;0,0792540792540792
CICIDS;RANDOM_L2;gaussian;1;15;3,12896170001477;1,365787399932742;87,73641230504352;0,9527522508137444;0,9492097594977216;0,9527522508137444;0,9482920374043948;0,8334925461195178;0,009376819756952;0,2329837089935282;0,7330071325815214;0,4798190825132593;0,5520675997147109;1,0;0,6978142076502732;0,1540835058391594;0,1115641693979199;0,5222448867081978;1,0;0,075388127763309;0,6995181626386916;0,075388127763309;0,1348667015616998;-0,0030350032082992;0,9115061143833588;0,0981218947838241;0,4999785052413403;0,1428964459997664;0,0274054051881341;0,0925449871465295;0,0912568306010929;0,0886224270593289;0,1097576711657075;0,0880974695407685;0,0722610722610722
CICIDS;FGSM;gaussian;1;20;2,980747499968857;1,4766884995624423;87,2318015832558;0,9632768753805904;0,9643355550031124;0,9632768753805904;0,9620816639150968;0,8748431006479161;0,0160019283457275;0,1370699679347889;0,7733044475348034;0,5316749915015352;0,597832428457375;1,0;0,6961748633879782;0,1495918447056985;0,1068156597589615;0,0896411048018082;0,9603729603729604;0,0909588595480322;0,9617393058838024;0,0909588595480322;0,1631561714314279;0,0737500654522582;0,8935161761476998;0,0007517119064118;0,5169740416941953;0,1486556682248053;0,038967914966275;0,0;0,0005464480874316;0,0;0,0014193914681669;0,0004410386460113;0,0
CICIDS;RANDOM_LINF;gaussian;1;20;2,980747499968857;1,4592331999447197;95,53288598058916;0,9632768753805904;0,9643355550031124;0,9632768753805904;0,9620816639150968;0,8748431006479161;0,0160019283457275;0,1370699679347889;0,7733044475348034;0,5316749915015352;0,597832428457375;1,0;0,6961748633879782;0,1495918447056985;0,1068156597589615;0,0896411048018082;0,9603729603729604;0,0079480155746988;0,6726518096945272;0,0079480155746988;0,0141990133938343;-0,0067943101564619;0,9917377067959868;0,0138479427759311;0,5005866331494933;0,1429596066221018;0,0037807744156202;0,0;0,0092896174863387;0,0124204194820919;0,0181940179101396;0,007497656982193;0,0069930069930069
